id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2361042,A view over the Venetian rooftops!,12057457,Marina,Isole,Dorsoduro,45.43149,12.32045,Entire home/apt,110,7,15,2018-06-02,0.25,1,203
2363425,Ca' Barbaria S. Marco view room,12072143,Ca'Barbaria,Isole,Castello,45.43916,12.34421,Private room,100,2,23,2018-07-14,0.46,6,334
2363690,10 minuts from Rialto Bridge,12073381,Paolo,Isole,Cannaregio,45.44287,12.33953,Entire home/apt,160,2,63,2019-04-27,1.04,1,300
2364873,GIOIA B&B CAMERA 1,11510408,Morteza,Terraferma,Marghera,45.46874,12.226,Private room,43,2,227,2018-11-02,3.68,4,218
2366302,Characteristic view of Venice,7787037,Paola,Isole,Cannaregio,45.44432,12.33672,Entire home/apt,99,1,298,2019-05-01,4.72,1,202
2371050,The house of Miracles,12113075,Roberto,Isole,Cannaregio,45.44039,12.3369,Entire home/apt,240,3,41,2018-05-28,0.65,1,165
2377412,HERMITAGE - Terrace on the Grand Canal.,10189388,Raffaella,Isole,Cannaregio,45.44105,12.33576,Entire home/apt,210,2,50,2019-04-25,0.97,60,268
2377443,Deep in the Green - Biennale,4654704,Riccardo,Isole,Sant'Elena,45.426,12.36374,Entire home/apt,100,2,35,2018-10-17,0.57,7,119
2377469,sweet home with garden,12145490,Micaela,Isole,San Polo,45.43832,12.32375,Entire home/apt,60,3,300,2019-05-05,4.73,3,185
2377640,Canal Sight - Cosy Small Apartment in Rialto Zone,12146304,Laura,Isole,Santa Croce,45.44105,12.33107,Entire home/apt,99,2,318,2019-04-28,5.02,1,237
2378147,(Website hidden by Airbnb),1664517,Charles,Isole,Giudecca,45.42638,12.32296,Entire home/apt,217,3,29,2018-11-04,0.58,1,309
2402601,Apartment in the heart of Venice,12279519,Barbara,Isole,Cannaregio,45.44264,12.33802,Entire home/apt,165,4,12,2014-09-15,0.20,1,365
2409388,Cosy  flat with canal view - Rialto,1856077,Alvise,Isole,San Polo,45.43963,12.33339,Entire home/apt,92,1,270,2019-05-10,4.43,2,219
2414379,Ca' sull'acqua,9372174,Anahi,Isole,Cannaregio,45.44221,12.34198,Entire home/apt,80,1,82,2019-04-28,2.24,2,224
2414485,Nuevo apartamento 10min de Venecia,12342250,Alessandra,Terraferma,Bissuola,45.4956,12.26743,Entire home/apt,60,1,107,2018-10-23,1.69,3,346
2415413,Large apartment at the Lido center,7665431,Pierre,Isole,Lido,45.41508,12.36781,Entire home/apt,131,4,6,2018-05-31,0.10,4,180
2428828,CA' PROVERBI - Duplex flat in historic Palace,10189388,Raffaella,Isole,Cannaregio,45.44111,12.33858,Entire home/apt,217,2,4,2017-11-04,0.07,60,270
2429883,Delfina contemporary chic,12419335,Annalisa,Isole,Castello,45.43205,12.35162,Entire home/apt,140,2,23,2017-06-26,0.38,1,269
2430744,Aleardi-Apartment in Mestre-Venice,12423528,Guido,Terraferma,Piave 1860,45.48805,12.24129,Entire home/apt,70,7,20,2015-06-17,0.32,1,314
2433113,ROMANTIC HIDEAWAY PALAZZO IN VENICE,12437976,Maria,Isole,San Marco,45.43714,12.33724,Private room,119,3,194,2019-04-27,3.15,2,90
2436854,A cozy flat close to Venice!!!,2519784,Anna,Terraferma,La Favorita,45.52746,12.24138,Entire home/apt,70,2,16,2018-09-01,0.26,2,354
2451238,Zattere Canal B - The Place to be!,12533143,Zattere Venice Apartments,Isole,Dorsoduro,45.42926,12.33076,Entire home/apt,131,3,55,2018-09-04,0.89,2,121
2456588,"CA' DELLA TORRE - Behind St. Mark, canal view",10189388,Raffaella,Isole,San Marco,45.43562,12.33796,Entire home/apt,200,2,7,2015-09-27,0.12,60,329
2456625,CA' DEL PRINCIPE - Balcony and canal view.,10189388,Raffaella,Isole,Cannaregio,45.44368,12.33649,Entire home/apt,134,3,11,2019-04-09,0.19,60,194
2457939,Apartment Casa Diana for 4 people in Venice,7258600,Enrico,Isole,Cannaregio,45.44513,12.32887,Entire home/apt,144,3,24,2019-04-14,0.40,5,141
2458244,Appartement Fenice I,12569265,Fiorella,Isole,San Marco,45.43277,12.3375,Entire home/apt,140,3,115,2019-05-06,1.88,3,272
2458435,Appartement Fenice II A,12569265,Fiorella,Isole,San Marco,45.43459,12.33333,Entire home/apt,135,3,132,2019-05-05,2.17,3,321
2458454,"San Rocco Apartment, with canal view",6973711,Valentina,Isole,Santa Croce,45.43716,12.32324,Entire home/apt,115,3,47,2019-04-21,0.77,6,184
2458625,Appartement Fenice II B,12569265,Fiorella,Isole,San Marco,45.43442,12.33333,Entire home/apt,180,3,89,2019-04-21,1.48,3,333
2463016,FAMILY FLAT - Three minutes from S. Mark's Square,8844295,Eleonora,Isole,Castello,45.43622,12.34081,Entire home/apt,130,4,74,2018-10-09,1.20,6,256
2471411,Casa Gialla Colorful Boat Pictures,12639005,Ennio Paolo,Isole,Burano,45.48695,12.41668,Entire home/apt,90,2,156,2019-04-30,2.50,1,343
2477498,Typical House with terrace,8844295,Eleonora,Isole,Castello,45.43618,12.34221,Entire home/apt,140,4,106,2019-05-06,1.76,6,294
2481023,Central Modern Studio,12692163,Mario,Isole,Castello,45.43462,12.34543,Entire home/apt,160,3,42,2018-05-27,0.70,2,255
2481546,Ca Molin - Bright Room with Balcony in Venice,5082707,Gi,Isole,San Polo,45.43623,12.32557,Private room,57,2,336,2019-04-18,5.38,4,137
2481807,Central Modern Apartment,12692163,Mario,Isole,Castello,45.43677,12.34485,Entire home/apt,180,3,11,2018-01-02,0.20,2,334
2482520,San Rocco - Spacious Single Room - Venice Center,5082707,Gi,Isole,Santa Croce,45.4365,12.32349,Private room,49,1,141,2018-09-27,2.26,4,130
2503722,"Bright  apartment in Sestiere Dorsoduro, Free Wifi",1711822,Lucia,Isole,Dorsoduro,45.43276,12.31889,Entire home/apt,111,6,48,2018-09-29,0.79,2,242
2506074,Dosoduro - Apartment on a patio,6830844,Marie,Isole,Dorsoduro,45.42919,12.33112,Entire home/apt,250,5,53,2019-04-17,0.86,1,282
2510812,Charming b&b with view close to St. Mark's Square,116144,Gianni,Isole,San Marco,45.433,12.33276,Private room,140,1,119,2019-04-28,2.05,2,304
2522654,Fantastic apartment in Dorsoduro,11200880,Marjolijn,Isole,Dorsoduro,45.4289,12.33299,Entire home/apt,220,3,73,2018-10-14,1.18,1,277
2523588,Roofscape of Venice - Superbe view,4654704,Riccardo,Isole,Castello,45.43676,12.3498,Entire home/apt,105,3,91,2019-04-21,1.47,7,61
2534377,Residenza Dani,12979449,Daniela,Isole,Castello,45.43209,12.35542,Entire home/apt,120,5,19,2018-10-27,0.38,1,304
2535198,Venice – A noble home right on the Grand Canal.,12982391,Alex (Alessandro),Isole,San Polo,45.43665,12.32793,Entire home/apt,340,3,58,2019-04-24,0.95,3,195
2535261,ARSENALE,12982157,Locappart,Isole,Castello,45.43516,12.34957,Entire home/apt,108,3,7,2017-11-26,0.28,25,123
2536536,BARTOLO F1,12982157,Locappart,Isole,San Marco,45.43782,12.33632,Entire home/apt,103,3,4,2018-10-21,0.12,25,123
2541205,SAN POLO APARTMENT,5395291,Beatrice,Isole,Santa Croce,45.4398,12.32912,Entire home/apt,130,2,206,2019-04-24,3.34,22,275
2541450,GIUDECCA,12982157,Locappart,Isole,Giudecca,45.42478,12.33095,Entire home/apt,108,3,1,2016-10-31,0.03,25,203
2551555,"VILLA LIBERTY  WITH GARDEN, SEAFRONT",11569700,Simonetta,Isole,Lido,45.41021,12.37177,Entire home/apt,450,4,11,2018-07-18,0.23,1,288
2554992,Ca' Salute - In the heart of Venice,13083139,Alvise,Isole,Dorsoduro,45.42878,12.33334,Entire home/apt,175,2,21,2019-05-04,0.34,1,276
2555676,Romantic house at the Zattere,10194247,Cristina,Isole,Dorsoduro,45.42925,12.33155,Entire home/apt,139,1,398,2019-05-05,6.47,1,300
2556380,"Charm, smart in the heart of Venice",13088946,Stefano,Isole,Giudecca,45.42731,12.31864,Entire home/apt,135,3,7,2016-04-18,0.13,1,283
2556475,Sunny and Quite: perfect for family,13089519,Sebastiano,Isole,Dorsoduro,45.43311,12.31709,Entire home/apt,100,3,82,2018-11-13,1.33,1,242
2559866,Ca' dei Canali first floor apartment,13084422,Michela,Isole,Dorsoduro,45.432,12.32261,Entire home/apt,120,3,150,2019-05-10,2.43,2,239
2567668,Cosy romantic room in Rialto,12333430,Agata,Isole,San Marco,45.43766,12.33754,Entire home/apt,110,3,34,2019-04-27,0.55,1,309
2577277,Dimora Furlani (canal view),632312,Guillaume,Isole,Castello,45.43531,12.34516,Entire home/apt,190,3,40,2018-12-17,0.65,18,118
2587927,App. San Martino near S.Mark's Square,13251582,Riccardo & Chiara,Isole,Castello,45.43605,12.34843,Entire home/apt,140,2,8,2017-06-16,0.13,4,304
2589159,Romite,12982157,Locappart,Isole,Dorsoduro,45.43039,12.32385,Entire home/apt,103,3,54,2019-04-22,1.42,25,179
2596383,SANT' AGOSTINO,12982157,Locappart,Isole,San Polo,45.43715,12.32784,Entire home/apt,108,3,3,2018-10-15,0.12,25,213
2597247,SENSA,12982157,Locappart,Isole,Cannaregio,45.4476,12.32932,Entire home/apt,148,3,1,2017-02-27,0.04,25,123
2597262,Venice Biennale Terrace,7414069,Adriano,Isole,Castello,45.43275,12.35246,Entire home/apt,125,7,28,2018-05-06,0.47,1,275
2597953,SEVERO,12982157,Locappart,Isole,Castello,45.43638,12.34206,Entire home/apt,103,3,3,2017-10-22,0.10,25,210
2597984,Silvestro,12982157,Locappart,Isole,San Polo,45.4377,12.3334,Entire home/apt,108,3,5,2019-04-26,0.16,25,351
2598013,Rialto Market double room,8862107,Maurizio,Isole,San Polo,45.43925,12.33306,Private room,100,2,140,2019-05-02,2.27,2,346
2598016,TEDESCHI,12982157,Locappart,Isole,Santa Croce,45.43901,12.32543,Entire home/apt,100,3,5,2019-04-22,0.16,25,197
2598459,B&B all'Orto ,13306256,Paola,Isole,Cannaregio,45.44491,12.33312,Private room,116,3,14,2018-08-31,0.23,1,363
2603405,SIMEONE IV PICCOLO,12982157,Locappart,Isole,Santa Croce,45.44051,12.32411,Entire home/apt,103,3,25,2019-04-09,0.75,25,211
2603624,LANA,12982157,Locappart,Isole,Santa Croce,45.43918,12.3236,Entire home/apt,143,3,2,2018-05-27,0.11,25,170
2604417,Lovely apartment with 2 terraces,11864228,Orsola,Isole,Castello,45.43779,12.33858,Entire home/apt,145,3,144,2019-04-27,2.54,7,248
2604449,Private garden in Venice,11864228,Orsola,Isole,Dorsoduro,45.43138,12.3255,Entire home/apt,235,3,21,2019-04-27,0.46,7,267
2605081,Apt Salute: spacious and sunny overlook on Zattere,5022636,Monica,Isole,Dorsoduro,45.42902,12.33227,Entire home/apt,150,3,85,2019-01-10,1.38,2,171
2610193,Very central apartment for 4 people,11864228,Orsola,Isole,Castello,45.43726,12.34075,Entire home/apt,119,3,117,2019-04-26,1.95,7,305
2614032,Appartamento centrale a Venezia 2,1862349,Elide,Isole,Castello,45.43785,12.3401,Entire home/apt,135,2,181,2019-04-20,3.00,4,117
2615789,dorsoduro461 giardino,13396685,Francesco,Isole,Dorsoduro,45.42895,12.33279,Private room,104,1,30,2018-01-04,0.49,2,99
2622929,White House in the heart of ancient Venice,10541081,Donna,Isole,Castello,45.437,12.33928,Entire home/apt,80,3,93,2018-09-24,1.62,2,0
2624054,CASANOVA PENTHOUSE in the HEART of VENICE-RIALTO,13439503,Elisabetta,Isole,Cannaregio,45.43873,12.33784,Entire home/apt,140,3,307,2019-04-29,5.12,4,212
2629821,Stupendo 29,13470588,Mauro,Terraferma,Piave 1860,45.48889,12.24422,Entire home/apt,50,2,100,2019-03-04,1.63,3,124
2630682,Elegant apartment garden canal view,434492,Lucia,Isole,Santa Croce,45.43694,12.31644,Entire home/apt,100,3,59,2019-04-27,1.06,2,296
2630901,"Venice city centre, Casallegra",13475821,Massimiliano,Isole,Castello,45.43704,12.34369,Entire home/apt,90,2,268,2019-05-09,4.30,1,221
2632418,CentralSuite with Private Bath,1300751,Frederico,Isole,San Polo,45.43641,12.32564,Private room,69,3,254,2019-04-20,4.15,3,200
2635306,DIETRO PIAZZA SAN MARCO chiedi OFFERTA SPECIALE,13193266,Lucia,Isole,San Marco,45.43503,12.33362,Entire home/apt,100,3,6,2018-10-03,0.10,1,74
2635900,Ca Rio Marin,13497609,Rita,Isole,Santa Croce,45.43977,12.32257,Entire home/apt,130,3,116,2019-04-22,2.26,1,234
2640821,Casa vacanze a Pellestrina con scoperto,6248564,Cinzia,Isole,Pellestrina,45.26874,12.30034,Entire home/apt,70,4,2,2017-05-29,0.04,2,322
2648218,SCRIGNO - Flat for 2 in the Jewish Ghetto,10189388,Raffaella,Isole,Cannaregio,45.44479,12.32503,Entire home/apt,110,3,6,2019-04-28,0.10,60,255
2655675,Brand new flat in the centre Venice,13593891,Martino,Isole,Santa Croce,45.43669,12.32281,Entire home/apt,140,2,99,2019-01-06,1.74,1,269
2664357,Lovely apartment close to Accademia,12113015,Mario,Isole,Dorsoduro,45.42995,12.32565,Entire home/apt,130,3,35,2018-10-02,0.63,25,347
2669217,"CA' STELLA - Close to F.te Nove, square view",10189388,Raffaella,Isole,Cannaregio,45.44021,12.33897,Entire home/apt,50,2,6,2019-04-07,0.10,60,310
2699532,ART Painting Apartment - CANAL VIEW,10988715,Andrea,Isole,Cannaregio,45.44709,12.32513,Entire home/apt,119,2,126,2019-04-27,2.05,11,298
2704532,Canal and St. Mark's view!Wonderful flat,369617,Irene,Isole,Cannaregio,45.44104,12.33931,Entire home/apt,133,3,142,2019-05-05,2.32,5,152
2711607,Stucky palace elegant apartment,9971120,Silvia,Isole,Sacca Fisola,45.42828,12.31778,Entire home/apt,95,3,56,2018-10-13,0.93,1,249
2732811,Cà Sale Garden,5816996,Giovanna,Isole,Dorsoduro,45.4293,12.33106,Entire home/apt,195,3,2,2016-01-05,0.03,3,355
2733967,Cà Sale Canal,5816996,Giovanna,Isole,Dorsoduro,45.42889,12.33312,Entire home/apt,650,3,6,2017-07-11,0.13,3,364
2735280,CaRina two steps away from San Marco.,13996037,Elisa,Isole,Castello,45.43538,12.34579,Entire home/apt,119,3,159,2019-04-27,2.63,2,316
2735333,Ca' Fortuny apartment in San Marco,12113015,Mario,Isole,San Marco,45.43538,12.33161,Entire home/apt,230,3,93,2019-03-26,1.60,25,322
2736817,Cà Sale Premium,5816996,Giovanna,Isole,Dorsoduro,45.42966,12.33305,Entire home/apt,980,3,5,2018-08-05,0.13,3,359
2737073,"Un ""nido"" nell'emozionante Venezia.",14004630,Rossella,Isole,Cannaregio,45.44226,12.33968,Entire home/apt,99,2,268,2019-05-09,4.36,1,238
2743394,BEAUTIFUL APARTMENT RIALTO BRIDGE,12244227,Roberto,Isole,San Marco,45.43802,12.33745,Entire home/apt,100,2,192,2019-04-27,3.13,13,297
2744576,Appartamento vista laguna,14040811,Adriana,Isole,Lido,45.42141,12.37778,Entire home/apt,120,2,59,2018-08-26,0.96,3,307
2745945,Apartment in the middle of Venice,4890499,Sandrine,Isole,San Marco,45.43697,12.33739,Entire home/apt,135,2,164,2019-04-29,2.91,3,303
2751476,LEONILLA'S STUDIO VENICE/BIENNALE WIFI-AC,8675069,Gianluca,Isole,Castello,45.43776,12.34645,Entire home/apt,75,4,247,2019-05-01,4.16,1,188
2752257,Cosy apartment with garden,5275950,Valentina,Isole,Castello,45.43543,12.34302,Entire home/apt,117,3,147,2019-05-04,2.40,1,274
2753359,San Marco X 2! In the heart of Venezia!,14083399,Katyna,Isole,San Marco,45.43607,12.33612,Entire home/apt,210,2,51,2019-03-04,0.83,2,263
2763307,Lovely Room in Venice-Mestre with private bathroom,716164,Valentina,Terraferma,Villaggio San Marco,45.47995,12.25968,Private room,50,2,306,2019-04-30,5.02,2,248
2766585,Amazing brand new flat with speedy wifi & full a/c,2508340,Giacomo,Isole,Santa Croce,45.44031,12.32465,Entire home/apt,220,2,198,2019-04-25,3.36,17,266
2767723,Tiziano room,308647,Federica,Isole,Castello,45.42938,12.35712,Private room,111,3,3,2018-09-08,0.05,3,0
2768245,Casa Maria,14157291,Anna,Isole,Cannaregio,45.43979,12.33894,Entire home/apt,120,3,152,2019-04-20,2.50,1,279
2768764,Dal musicista - Veneziana,14159304,Davide,Isole,Giudecca,45.42583,12.33757,Private room,55,1,113,2019-02-28,1.86,2,352
2772734,Sognando Venezia,14179647,Andrea,Isole,Cannaregio,45.44677,12.32178,Entire home/apt,115,2,89,2019-05-08,1.48,1,312
2773387,Miramare suite double bedroom,2918481,Alessandra,Isole,Lido,45.40195,12.36151,Private room,60,2,0,,,2,163
2778812,Typical Venetian house on the canal,14212454,Paolo,Isole,Cannaregio,45.44007,12.34056,Entire home/apt,130,1,491,2019-05-06,8.01,2,260
2783287,La Mansarda,14232639,Stefano,Isole,Cannaregio,45.44353,12.32755,Entire home/apt,85,2,209,2019-05-06,3.46,2,344
2789898,"BEAUTIFUL, COMFORTABLE, ONE-OF-A-KIND LAGOON VIEWS",14269771,Mina,Isole,Castello,45.4387,12.34793,Entire home/apt,115,2,341,2019-05-06,5.56,2,263
2798293,Ca' Erizzo dream apartment in Biennale area,12113015,Mario,Isole,Castello,45.43396,12.34961,Entire home/apt,1100,5,1,2017-07-23,0.05,25,347
2798978,Ca' Guardi 6 beds amazing apartment,12113015,Mario,Isole,Cannaregio,45.44204,12.3385,Entire home/apt,180,3,8,2015-10-13,0.14,25,361
2800419,Rialto Mercato Large Family apartment,9017175,Andrea,Isole,San Polo,45.43971,12.33407,Entire home/apt,250,1,80,2019-04-21,1.31,16,214
2801730,Charming apartment in Cannaregio,12113015,Mario,Isole,Cannaregio,45.43963,12.33723,Entire home/apt,170,3,27,2018-09-03,0.56,25,350
2805609,Ca' del Remo,2138358,Luca,Isole,Sant'Elena,45.42897,12.36068,Entire home/apt,120,3,184,2019-04-26,3.01,2,136
2807505,Casa Olivia - Central and Stylish,14360433,Alice,Isole,Cannaregio,45.44228,12.33933,Entire home/apt,108,4,43,2019-04-28,0.72,1,138
2810199,Marco Polo Room,308647,Federica,Isole,Castello,45.43078,12.3551,Private room,120,2,37,2018-10-14,0.61,3,313
2812241,Jacopo Like a Little 1 Bdr House,393913,Luca,Isole,Santa Croce,45.43874,12.32447,Entire home/apt,112,3,22,2019-01-03,0.39,9,223
2820115,"Ca' Giove, a quiet corner in Venice",14427287,Marzia,Isole,Dorsoduro,45.43142,12.31999,Entire home/apt,150,3,209,2019-05-07,3.42,1,182
2827956,Gagiandra - With Altana (Terrace),14467437,Elvira,Isole,Castello,45.43673,12.34219,Entire home/apt,120,28,7,2018-07-24,0.16,1,55
2829491,"Romantique Venise, charme et confort",14474984,Franco&Davide,Terraferma,Marghera,45.47458,12.22944,Private room,58,2,336,2019-05-09,9.06,3,204
2834691,Real authentic Venetian style home near Rialto,9852012,Paolo,Isole,Cannaregio,45.44154,12.3371,Entire home/apt,85,2,197,2019-04-29,3.29,15,340
2840449,charming room in Rialto,14529918,Massimiliano,Isole,San Polo,45.43859,12.33342,Private room,65,2,185,2019-03-29,4.06,3,0
2841047,Apartment 3rooms Venice Lido,14509750,Marta,Isole,Lido,45.43169,12.38461,Entire home/apt,99,2,119,2019-04-25,1.97,3,293
2843847,Grande Bellezza e Ospitalità 5,9446850,Luigi,Terraferma,Piave 1860,45.4866,12.23422,Private room,65,1,501,2019-05-08,8.20,5,261
2871803,Rialto Mercato Venice Hause,3926719,Cara,Isole,Santa Croce,45.4396,12.33048,Entire home/apt,73,3,152,2019-05-01,2.49,2,307
2873890,Sumptuously Decorated Apartment close to Rialto,12497228,Canal Grande,Isole,Santa Croce,45.43857,12.33004,Entire home/apt,135,2,120,2019-04-27,2.12,6,197
2874520,LIDO flat: one step from the sea,14692125,Stefano,Isole,Lido,45.42028,12.37526,Entire home/apt,90,3,52,2019-04-12,0.88,1,256
2881911,Grande Bellezza e Ospitalità 4  ,9446850,Luigi,Terraferma,Piave 1860,45.48661,12.23269,Private room,65,1,448,2019-05-06,7.32,5,296
2884914,Charme in palazzo del '400,14744218,Mariano,Isole,Cannaregio,45.4466,12.33092,Entire home/apt,149,3,111,2019-01-05,1.85,1,263
2888335,Grande Bellezza e Ospitalità 2,9446850,Luigi,Terraferma,Piave 1860,45.48678,12.2333,Private room,65,1,477,2019-05-09,7.84,5,266
2893115,appartamento a lido di venezia,9098143,Renzo,Isole,Lido,45.41907,12.37422,Entire home/apt,130,2,10,2017-10-29,0.18,2,357
2903035,SAN MARCO- RIALTO WITH WI-FI,3268637,Massimo,Isole,San Marco,45.43654,12.33725,Entire home/apt,188,2,47,2018-11-25,0.78,2,313
2903487,THE Rododendri Garden,14835070,Silvia,Terraferma,Campalto Gobbi,45.4933,12.29531,Entire home/apt,73,2,84,2019-04-26,1.72,1,310
2907762,Grande Bellezza e Ospitalità 3,9446850,Luigi,Terraferma,Piave 1860,45.48572,12.2326,Private room,65,1,395,2019-04-28,6.46,5,300
2910349,"Venezia Lido central, near Biennale",14040811,Adriana,Isole,Lido,45.41798,12.3735,Entire home/apt,100,1,24,2019-04-28,0.40,3,266
2913664,Ca' Formosa  San Marco apartment with canal views,12113015,Mario,Isole,Castello,45.43569,12.34117,Entire home/apt,190,3,85,2019-04-27,1.52,25,309
2921909,Grande Bellezza e Ospitalità 1,9446850,Luigi,Terraferma,Piave 1860,45.48732,12.23498,Private room,70,1,400,2019-04-29,6.54,5,273
2924501,"Like Royalty: WIFI, AC, Canal Views",3018739,Bianca,Isole,Santa Croce,45.43764,12.32177,Entire home/apt,180,1,221,2019-05-08,3.69,1,307
2928351,Luxury Venice Apartment,14954297,Elisa,Isole,Cannaregio,45.44208,12.3322,Entire home/apt,101,4,136,2019-05-06,2.27,1,275
2940277,"COSY APARTMENT ""SPIAGGIA"" for LA BIENNALE- 7 beds",5116147,Franca,Isole,Lido,45.41911,12.37705,Entire home/apt,140,2,16,2019-05-05,0.49,1,280
2946568,in the central with stunning views ,15042744,Stefania,Isole,Cannaregio,45.43984,12.33933,Entire home/apt,160,2,357,2019-04-27,6.25,1,278
2946723,VIVALDI SUITE in the HEART of VENICE-RIALTO,13439503,Elisabetta,Isole,Cannaregio,45.43882,12.3377,Entire home/apt,100,3,151,2019-04-28,2.71,4,265
2952728,ATTICO BIENNALE NUOVISSIMO wifi free,13453584,Francesca,Isole,Castello,45.43203,12.35166,Entire home/apt,130,1,126,2019-02-18,2.21,1,281
2954582,"In the Center, just restructured",15081097,Liberio,Isole,Cannaregio,45.4395,12.33796,Entire home/apt,115,2,80,2018-10-29,1.35,1,348
2960899,Ca' Traviavista S,15112827,Marco,Isole,Castello,45.43582,12.34358,Entire home/apt,85,3,134,2019-04-18,2.28,8,224
2962359,Venice Home Gallery,13996037,Elisa,Isole,Santa Croce,45.44048,12.32563,Entire home/apt,156,3,41,2018-06-23,0.70,2,0
2963381,"Stylish and bright, close to beach and city center",4064191,Cecilia,Isole,Lido,45.41562,12.37357,Entire home/apt,250,3,9,2018-06-21,0.16,3,186
2967540,Paradis Venise Apartment,4890499,Sandrine,Isole,Cannaregio,45.44256,12.34009,Entire home/apt,130,2,154,2019-04-18,2.61,3,178
2975771,Bright and cosy centrally located - X103,15178567,Paolo,Isole,Castello,45.43782,12.33848,Entire home/apt,180,2,1,2016-01-27,0.02,30,244
2981202,Modern & comfy 2 bedrooms 2 bathrs X6103,15178567,Paolo,Isole,Castello,45.43791,12.34022,Entire home/apt,280,2,35,2018-05-27,0.63,30,269
2981671,Modern and bright apartment,1490179,Laura,Isole,Cannaregio,45.44409,12.32228,Entire home/apt,140,3,110,2019-04-21,1.82,12,256
2981964,Domus Venetia at San Marco,15209143,Paride,Isole,San Marco,45.43357,12.33234,Entire home/apt,159,2,103,2018-11-01,1.71,1,97
2984300,BIRI STUDIO NEAR RIALTO BRIDGE,1878243,Elisabetta,Isole,Cannaregio,45.43969,12.33952,Entire home/apt,80,5,204,2019-05-06,3.40,2,126
2986063,Cosy aprt.with private courtyard,8339294,Giulia,Isole,Cannaregio,45.44587,12.33048,Entire home/apt,85,2,141,2019-04-21,2.33,3,14
2992969,A ROMANTIC STUDIO IN THE HEART OF VENICE,3429853,Cinzia,Isole,Castello,45.43634,12.34201,Entire home/apt,80,3,228,2019-04-26,3.74,2,92
3002329,Garden apt close to beach,15302231,Paola Carolina,Isole,Lido,45.40531,12.362,Entire home/apt,120,4,71,2019-04-27,1.18,2,135
3003073,Modern central apt with terrace X401,15178567,Paolo,Isole,Castello,45.43769,12.33991,Entire home/apt,220,2,3,2017-05-08,0.06,30,283
3007237,Venetian Style Canal-view apartment x201,15178567,Paolo,Isole,Castello,45.43826,12.33838,Entire home/apt,175,2,4,2015-10-17,0.08,30,230
3007300,Top Location S. Mark Square 1,4806020,Iber,Isole,San Marco,45.43311,12.3381,Entire home/apt,164,2,514,2019-05-01,8.58,5,242
3007400,FOSCARI SUITE in the HEART of VENICE-RIALTO,13439503,Elisabetta,Isole,Cannaregio,45.43867,12.33776,Entire home/apt,130,3,203,2019-04-14,3.35,4,232
3007613,See Venice from roof-top terrace - X3201,15178567,Paolo,Isole,Castello,45.43669,12.34037,Entire home/apt,200,2,5,2018-11-16,0.09,30,235
3009703,Giustinian,15337957,Marie,Isole,San Marco,45.43192,12.32944,Entire home/apt,135,3,29,2016-06-07,0.48,11,284
3017842,Appartamento con vista canale in palazzo del XVI secolo.,15378291,Elisabetta,Isole,Castello,45.43836,12.34282,Entire home/apt,209,3,155,2019-04-23,2.58,1,243
3020830,The classic Venetian house,15393127,Daniele,Isole,Cannaregio,45.43913,12.33984,Entire home/apt,85,3,18,2017-04-27,0.31,1,344
3026510,"Greci Apt between Biennale & S.Mark Square, 2 room",5332195,Alessandro,Isole,Castello,45.43488,12.34674,Entire home/apt,140,3,129,2019-04-21,2.15,7,177
3026797,Cozy flat near rail and bus station,9201808,Alice,Isole,Santa Croce,45.43807,12.32169,Entire home/apt,95,4,15,2016-09-06,0.26,2,0
3026979,Apartment San Stae 5 minutes Rialto,13251582,Riccardo & Chiara,Isole,San Polo,45.43948,12.32861,Entire home/apt,139,2,56,2019-04-21,1.52,4,333
3034034,Villa Ines with garden,15454764,Marika,Isole,Lido,45.41259,12.36956,Private room,180,1,6,2016-03-30,0.11,1,356
3034703,Modern and Central Studio apart. X102,15178567,Paolo,Isole,Castello,45.43816,12.33825,Entire home/apt,165,2,2,2015-09-02,0.04,30,206
3037526,Charming Venetian style canal view - X6202,15178567,Paolo,Isole,Castello,45.43794,12.33878,Entire home/apt,240,2,3,2016-07-07,0.05,30,229
3039530,Giudecca - Wonderful Location,14712011,Maria,Isole,Giudecca,45.42688,12.32204,Entire home/apt,120,3,128,2019-04-24,2.15,1,237
3042259,Home Sweet Home,15490832,Emili,Terraferma,Piave 1860,45.4839,12.23194,Entire home/apt,38,1,385,2019-05-10,6.45,2,283
3043430,2-ROOM APARTMENT WITH VIEW OF THE CANAL,15497690,Massimo,Isole,Cannaregio,45.44124,12.33999,Entire home/apt,120,3,170,2019-05-06,2.84,3,239
3044146,Magic View,15501847,Ludovica,Isole,Cannaregio,45.44127,12.3408,Entire home/apt,300,3,12,2019-05-04,0.25,2,250
3045735,Lovely flat in Castello,15501847,Ludovica,Isole,Castello,45.43449,12.35783,Entire home/apt,74,4,114,2019-05-05,1.90,2,298
3046348,Monolocale vista giardino,15511096,Paolo,Isole,San Marco,45.43397,12.33177,Private room,190,2,0,,,4,193
3054444,Elegant apt with private garden by S.ta Margherita,6019189,Federico,Isole,Santa Croce,45.43736,12.32277,Entire home/apt,85,3,49,2019-04-23,0.82,21,261
